Givenname,Surname,Streetaddress,City,Zipcode,Country,CountryCode,NationalId,TelephoneCountryCode,Telephone,Birthday,ConsentToContact
Ryan,Goodwin,George Mall 22709,Stokeston,79597,Danmark,DK,19941212-7811,+45,200.816.3714x28095,1994-12-12,True
Björn,Borg,Aspvägen 631,Karlskrona,61886,Sverige,SE,19781028-9737,+46,0270-30 49 08,1978-10-28,True
Øyvind,Moen,Fredriksenløkka 227,Knutsen,2321,Norge,NO,19731114-1051,+47,+4715190174,1973-11-14,True
Hanna,Petersson,Nyvägen 2,Varberg,80963,Sverige,SE,19780124-8544,+46,08-59 43 16,1978-01-24,True
Joyce,Miller,Park Track 83073,Silvaview,94255,Danmark,DK,19570421-2460,+45,001-376-445-1618x795,1957-04-21,True
John,Johnson,Lara Avenue 1994,South Shawnbury,35598,Danmark,DK,20000616-0554,+45,(670)489-9812x293,2000-06-16,True
Marianne,Danielsson,Bäckstigen 696,Östersund,16460,Sverige,SE,19961222-1085,+46,003-09 11 29,1996-12-22,True
Scott,Cabrera,Mack Mission 838,Christianchester,20247,Danmark,DK,19631030-2674,+45,(219)548-6633,1963-10-30,True
Jessica,Becker,Gail Hollow 38849,West Davidburgh,76299,Danmark,DK,19440307-3460,+45,+1-679-369-8046x7888,1944-03-07,True
Yngve,Lundin,Kyrkogränd 507,Umeå,54422,Sverige,SE,19721130-2594,+46,+46 (0)225 975 14,1972-11-30,True
Elisabeth,Gustafsson,Industrigatan 2,Motala,94234,Sverige,SE,19670325-7418,+46,08-412 847 73,1967-03-25,True
Camilla,Berge,Ellingsengropa 3,Olsen,9345,Norge,NO,19670801-4153,+47,05242542,1967-08-01,True
Mats,Björk,Fabriksgatan 741,Stockholm,13097,Sverige,SE,19610908-8334,+46,08-74 25 46,1961-09-08,True
Johanna,Johnsson,Ringgatan 8,Alingsås,30181,Sverige,SE,19860512-0078,+46,0350-379 16,1986-05-12,True
Anna,Gustavsson,Björkvägen 399,Uppsala,17485,Sverige,SE,19680922-7779,+46,+46 (0)8 669 428 17,1968-09-22,True
Mette,Knutsen,Johannessenvollen 3,Aas,8467,Norge,NO,19550527-6634,+47,60431782,1955-05-27,True
Johan,Nguyen,Eliassenkollen 3,Fredriksen,1516,Norge,NO,19620427-0315,+47,405 38 841,1962-04-27,True
Lars,Moen,Aashagen 9,Ahmed,7879,Norge,NO,19860826-9493,+47,49850315,1986-08-26,True
Britt,Mathisen,Rønningmyra 2,Helenedal,6217,Norge,NO,19691207-0968,+47,98778639,1969-12-07,True
Britt,Fransson,Aspstigen 78,Örebro,68448,Sverige,SE,19440928-5860,+46,+46 (0)765 654 59,1944-09-28,True
Anna,Svendsen,Isaksenflata 21A,Lunde,8072,Norge,NO,19980219-4155,+47,95 43 44 05,1998-02-19,True
Daniel,Eriksen,Sørensenhaugen 95,Johnsen,3455,Norge,NO,19430525-1514,+47,98 54 08 71,1943-05-25,True
Ulrika,Ström,Kyrkgatan 124,Borås,19903,Sverige,SE,19650727-8390,+46,08-29 02 86,1965-07-27,True
Terje,Strøm,Andresenstubben 6,Hansen,3041,Norge,NO,19841207-2623,+47,+4784699159,1984-12-07,True
Julia,Magnusson,Skolgatan 48,Trelleborg,64800,Sverige,SE,19401209-7872,+46,+46 (0)87 12 62 64,1940-12-09,True
Shawn,Bowen,Bailey Pines 21090,Paulfort,92245,Danmark,DK,19821111-6441,+45,682.971.9483x607,1982-11-11,True
Stina,Karlsson,Villagränd 03,Alingsås,12972,Sverige,SE,19600408-3949,+46,025-546 71 27,1960-04-08,True
Mikael,Andersson,Parkstigen 584,Kristianstad,94426,Sverige,SE,19470219-9687,+46,0875-191 80,1947-02-19,True
Carl,Holmberg,Skogsvägen 782,Karlskoga,97628,Sverige,SE,19501026-5638,+46,+46 (0)8 002 397 69,1950-10-26,True
Eva,Ottosson,Skoltorget 88,Göteborg,53184,Sverige,SE,19410713-5819,+46,+46 (0)286 885 45,1941-07-13,True
Mari,Sandvik,Olsenekra 5,Cecilievåg,7515,Norge,NO,19610115-8977,+47,49284641,1961-01-15,True
Bryan,King,Mary Gardens 02251,Roseborough,46144,Danmark,DK,19930413-7732,+45,607-590-5496x32591,1993-04-13,True
Terttu,Haataja,Gyldéninbulevardi 78,Kinnula,00369,Finland,FI,19530926-470L,+358,(+358) 926324455,1953-09-26,True
Edward,Mcgee,Davis Island 81390,Lake Cynthia,34023,Danmark,DK,19740413-7361,+45,533-204-3932,1974-04-13,True
Manuel,Lee,Goodwin Forges 909,South Reneeview,74614,Danmark,DK,19750729-4731,+45,(462)251-7018x19540,1975-07-29,True
Ilmari,Karlsson,Harbontie 637,Kivijärvi,90877,Finland,FI,19860201-7052,+358,+358 60 6782704,1986-02-01,True
Maria,Karlsson,Ängsvägen 777,Växjö,34474,Sverige,SE,19941213-2246,+46,+46 (0)32 11 24 73,1994-12-13,True
Anna,Isaksson,Stationsgränd 052,Lidköping,71175,Sverige,SE,19470504-3806,+46,+46 (0)8 352 965 59,1947-05-04,True
Erling,Bakken,Lundekra 8,Henriksen,2923,Norge,NO,19770113-1559,+47,+4726773904,1977-01-13,False
Ingvar,Carlsson,Nygatan 85,Umeå,62525,Sverige,SE,19950609-8051,+46,08-47 51 09,1995-06-09,True
Christian,Karlsen,Isaksenberget 6,Tommyby,2746,Norge,NO,19450801-1369,+47,59787712,1945-08-01,True
Maria,Petersson,Fabriksgränd 631,Linköping,81891,Sverige,SE,19491213-5445,+46,001-08 58 70,1949-12-13,True
Linda,Scott,Reynolds Falls 798,New Kenneth,51933,Danmark,DK,19980830-5486,+45,465.855.6175x14302,1998-08-30,True
Ove,Persson,Åkergatan 96,Trollhättan,20911,Sverige,SE,19871216-9698,+46,027-84 92 80,1987-12-16,True
Anders,Johansson,Ängsvägen 15,Borlänge,96490,Sverige,SE,19780317-8973,+46,071-753 30 05,1978-03-17,True
Kristin,Haug,Brekkehøgda 9C,Johannessen,1782,Norge,NO,19740514-3312,+47,+47 11 96 12 68,1974-05-14,True
Ulla,Göransson,Järnvägsgränd 0,Ängelholm,92916,Sverige,SE,19700330-6381,+46,+46 (0)178 233 71,1970-03-30,True
Jacob,Nilsson,Ekgränd 4,Karlstad,19764,Sverige,SE,19460213-5690,+46,029-428 16 64,1946-02-13,True
Benjamin,Hayes,Becky Streets 641,Shieldschester,15727,Danmark,DK,19621102-8754,+45,962-218-7900,1962-11-02,True
Melissa,Wilson,Aaron Glens 343,New Julie,13921,Danmark,DK,19950728-0742,+45,976.582.2379,1995-07-28,True
Roger,Berg,Isaksenbakken 61A,Nielsen,0247,Norge,NO,19420311-1673,+47,65531682,1942-03-11,True
Monica,Vik,Nielsenkollen 83,Mettefoss,6614,Norge,NO,19600922-7594,+47,90886263,1960-09-22,True
Rune,Stenberg,Skogsgatan 5,Skövde,33682,Sverige,SE,19880214-1517,+46,+46 (0)8 886 283 86,1988-02-14,True
Mathias,Sivertsen,Eriksentoppen 7,Ødegård,0255,Norge,NO,19940225-5121,+47,15204883,1994-02-25,True
Monica,Berge,Kristiansenhaugen 1C,Linnvåg,0241,Norge,NO,19580117-5519,+47,413 28 426,1958-01-17,True
Liv,Johansen,Aasenfaret 7A,Jacobsen,4652,Norge,NO,19580218-7194,+47,483 41 444,1958-02-18,True
John,Jönsson,Parktorget 248,Kalmar,81705,Sverige,SE,19510826-1900,+46,090-187 31 98,1951-08-26,True
May,Arnesen,Knudsenskrenten 27,Evensen,1883,Norge,NO,19480912-6132,+47,20547402,1948-09-12,True
Valborg,Löfgren,Järnvägsvägen 7,Malmö,19153,Sverige,SE,19660922-0477,+46,08-293 570 71,1966-09-22,True
May,Halvorsen,Thomassenmoen 03,Alffjell,3719,Norge,NO,19981120-4082,+47,967 22 616,1998-11-20,True
Mikael,Ikonen,Fagottikatu 6,Ylöjärvi,11505,Finland,FI,19871114-1910,+358,+358 900232721,1987-11-14,True
Margareta,Larsson,Kyrktorget 551,Stockholm,85976,Sverige,SE,19750530-8773,+46,+46 (0)8 156 120 20,1975-05-30,True
Spencer,Burch,Vance Branch 876,East Nicolas,29923,Danmark,DK,19400526-6161,+45,(328)621-6397x7340,1940-05-26,True
Wenche,Moe,Mikkelsenmoen 29,Ødegård,0823,Norge,NO,20000405-9903,+47,+4797866359,2000-04-05,True
Börje,Johansson,Granvägen 1,Karlskrona,34137,Sverige,SE,19620528-5600,+46,+46 (0)8 997 465 71,1962-05-28,True
Oscar,Johansson,Strandvägen 908,Lund,46085,Sverige,SE,19440727-1734,+46,+46 (0)32 07 86 45,1944-07-27,True
Evert,Holm,Skolstigen 93,Sundsvall,67951,Sverige,SE,19681024-5246,+46,+46 (0)8 484 899 73,1968-10-24,True
Marja,Välimäki,Puusepänkatu 01,Viitasaari,44776,Finland,FI,19561029-742P,+358,041 143 4044,1956-10-29,True
Harriet,Jansson,Granstigen 004,Mölndal,95486,Sverige,SE,19820215-0384,+46,009-107 88 31,1982-02-15,True
Jeffrey,Austin,Heather Vista 30538,Abbottville,79416,Danmark,DK,19550209-5337,+45,584-280-0564x765,1955-02-09,True
Juhani,Salo,Ahdekaunokintie 4,Savonlinna,79294,Finland,FI,19681205-764D,+358,+358 085839865,1968-12-05,True
Hans,Pettersson,Björkgatan 6,Piteå,35243,Sverige,SE,19851004-0884,+46,0587-80 81 17,1985-10-04,True
Else,Gulbrandsen,Tveitholtet 9,Karlsen,7702,Norge,NO,19530417-6245,+47,+4782455936,1953-04-17,True
Kristin,Aasen,Berghavna 50,Strøm,9982,Norge,NO,19530130-2593,+47,41232125,1953-01-30,True
Roar,Arnesen,Sørensenåsen 46,Abrahamsen,1920,Norge,NO,19640330-3463,+47,41601290,1964-03-30,True
Tobias,Bakke,Berntsengropa 44A,Abrahamsen,2300,Norge,NO,19900828-3612,+47,58 21 96 27,1990-08-28,True
Björn,Karlsson,Åkervägen 1,Västerås,62437,Sverige,SE,19420702-0391,+46,029-73 35 99,1942-07-02,True
Brandon,Wilkins,Taylor Skyway 1038,Port Matthewmouth,14514,Danmark,DK,19980527-9885,+45,449.496.6330x4068,1998-05-27,True
Grete,Hanssen,Lundetoppen 3,Terjefjord,1883,Norge,NO,19490408-2343,+47,948 55 323,1949-04-08,True
Peter,Nilsson,Trädgårdsgatan 775,Karlstad,87385,Sverige,SE,19930620-9744,+46,08-478 254 00,1993-06-20,True
Elisabet,Söderberg,Ekvägen 8,Lidköping,82220,Sverige,SE,19910101-9439,+46,017-018 32 33,1991-01-01,True
Tomas,Lundqvist,Skogsstigen 658,Karlstad,53606,Sverige,SE,19830114-9158,+46,+46 (0)574 650 04,1983-01-14,True
Joyce,Smith,Rhonda Creek 11672,Whiteheadfurt,70174,Danmark,DK,19621016-0154,+45,(555)936-7053x479,1962-10-16,True
Pekka,Eriksson,Degermosanbulevardi 54,Helsinki,40607,Finland,FI,19740206-055X,+358,(+358) 076132044,1974-02-06,True
Sten,Borg,Parkgatan 16,Skellefteå,26721,Sverige,SE,19700210-5979,+46,08-577 06 27,1970-02-10,True
Chase,Jimenez,Tabitha Plaza 273,North Nicholas,56557,Danmark,DK,19690704-5737,+45,834-876-7604,1969-07-04,True
Margaretha,Pettersson,Fabriksgatan 8,Falun,48693,Sverige,SE,19620809-8984,+46,08-32 99 81,1962-08-09,True
Mattias,Stenberg,Skolstigen 54,Jönköping,33892,Sverige,SE,19591223-4562,+46,08-958 582 06,1959-12-23,True
Geir,Pedersen,Dahlberget 3,Solberg,7673,Norge,NO,19470822-0178,+47,468 52 838,1947-08-22,True
Anders,Olsson,Gentorget 010,Karlstad,68436,Sverige,SE,19410718-9947,+46,025-06 82 14,1941-07-18,True
Nils,Johansson,Järnvägsvägen 964,Eskilstuna,25540,Sverigy,SE,19750802-8236,+46,0297-83 18 74,1975-08-02,True
Linn,Tveit,Nielsenrøa 3,Kristensen,7128,Norge,NO,19990528-8133,+47,+47 13 79 08 74,1999-05-28,True
Andre,Chaney,Jones Fork 620,New Greg,93327,Danmark,DK,19890930-9431,+45,(867)565-4146x0529,1989-09-30,True
Peter,Holmes,Timothy Cape 61762,Kaufmanfurt,38042,Danmark,DK,19530520-2146,+45,+1-764-547-5438x8695,1953-05-20,True
Sami,Hiltunen,Rukotie 862,Petäjävesi,28376,Finland,FI,19760803-7802,+358,+358561404649,1976-08-03,True
Jonathan,Jones,Randy Groves 355,New Miguel,41919,Danmark,DK,19511010-3511,+45,695-901-1136x1556,1951-10-10,True
Irene,Fredriksen,Ellingsentjernet 00,Brekke,8015,Norge,NO,19440208-7080,+47,916 74 548,1944-02-08,True
Karl,Karlsson,Furugatan 330,Skellefteå,11166,Sverige,SE,19700327-9943,+46,08-25 17 39,1970-03-27,True
Johannes,Lehtola,Taimistonkuja 85,Luumäki,24773,Finland,FI,19480318-865D,+358,003 110 2127,1948-03-18,True
Gregory,Moody,Wheeler Mount 38975,East Tiffanyhaven,92996,Danmark,DK,19990608-8812,+45,+1-838-247-4149x62425,1999-06-08,True
Eva,Engström,Åkervägen 755,Lidingö,24510,Sverige,SE,19980718-4582,+46,08-184 68 06,1998-07-18,True
Sven,Nilsson,Gengatan 35,Halmstad,51906,Sverige,SE,19980914-5242,+46,0713-88 04 42,1998-09-14,True
Erik,Pettersson,Aspgatan 3,Karlstad,19744,Sverige,SE,20000415-7673,+46,0238-186 82,2000-04-15,True
Iris,Gustafsson,Industristigen 78,Växjö,85854,Sverige,SE,19511224-6987,+46,+46 (0)361 978 35,1951-12-24,True
Gloria,Scott,Chan Creek 7317,North Robertmouth,49100,Danmark,DK,19600211-1502,+45,414.673.1691,1960-02-11,True
Gunnar,Arnesen,Danielsenbakken 239,Linnborg,4246,Norge,NO,19760717-6882,+47,68 59 91 83,1976-07-17,True
Tore,Axelsson,Björkvägen 598,Motala,81279,Sverige,SE,19800910-7161,+46,+46 (0)8 700 252 26,1980-09-10,True
Lindsay,Jensen,Williams Gateway 60777,Bryanmouth,37121,Danmark,DK,19720118-9345,+45,349-416-9938x48464,1972-01-18,True
Robert,Svensson,Ekgränd 777,Eskilstuna,45578,Sverige,SE,19470104-8778,+46,+46 (0)8 671 899 83,1947-01-04,True
Brian,Bailey,Duane Road 91215,North Martin,46454,Danmark,DK,19771219-5203,+45,579-615-3614,1977-12-19,True
Eemeli,Hämäläinen,Jätkäsaarenbulevardi 73,Vieremä,50714,Finland,FI,19510712-4014,+358,0298805729,1951-07-12,True
Gustaf,Stenberg,Parkgränd 6,Kalmar,40062,Sverige,SE,19691230-3336,46,+46 (0)437 204 55,1969-12-30,True
Cory,Alexander,Hart Point 61353,Hooperhaven,07653,Danmark,DK,19400301-0202,+45,(520)891-3081,1940-03-01,True
Lisa,Andersson,Ringgränd 68,Kristianstad,59451,Sverige,SE,19521031-0149,+46,+46 (0)190 130 58,1952-10-31,True
Thea,Edvardsen,Jensenstien 63,Erlinggrunn,3596,Norge,NO,19740503-6944,+47,42910762,1974-05-03,True
Mark,Owens,Haney Mills 7252,Port Christineside,20143,Danmark,DK,19560813-8161,+45,730-672-9062x215,1956-08-13,True
Viola,Karlsson,Stationsstigen 902,Kristianstad,59889,Sverige,SE,19431018-9063,+46,08-011 021 32,1943-10-18,True
Heather,Crawford,Valencia Center 268,Ortizmouth,19669,Danmark,DK,19991118-0664,+45,(588)624-3692x043,1999-11-18,True
Kristin,Kristoffersen,Strømstien 1,Andreasberg,2302,Norge,NO,19500629-1307,+47,919 13 673,1950-06-29,True
Wenche,Aune,Kristensenroa 14,Martinsen,2596,Norge,NO,19620610-0878,+47,66 35 95 63,1962-06-10,True
Christopher,Smith,Martin River 035,South Christopher,78275,Danmark,DK,19880513-2368,+45,001-968-863-8499,1988-05-13,True
John,Cardenas,Chandler Mountains 604,Sarachester,97935,Danmark,DK,19540917-4736,+45,001-540-323-9272x2094,1954-09-17,True
Eli,Gundersen,Hagenvollen 64,Hansen,5233,Norge,NO,19820511-5784,+47,410 55 498,1982-05-11,True
Espen,Pedersen,Evensenstykket 2,Øyvindgrunn,4846,Norge,NO,19640827-3399,+47,99611970,1964-08-27,True
Märta,Andersson,Backtorget 45,Karlstad,99612,Sverige,SE,19450104-9532,+46,+46 (0)8 699 872 75,1945-01-04,True
Astrid,Strand,Solbergsvingen 709,Britthamn,8370,Norge,NO,19631013-3309,+47,982 58 270,1963-10-13,True
Michael,Schmidt,Whitney Keys 4333,South Robert,75155,Danmark,DK,19900626-9176,+45,001-401-212-1299x202,1990-06-26,True
Ivar,Jensen,Fredriksenplassen 4,Karisjøen,3246,Norge,NO,19960704-6964,+47,975 31 032,1996-07-04,True
Julia,Garcia,Gonzales Circle 2923,North Claudia,24465,Danmark,DK,19700425-6354,+45,769-382-7452x8176,1970-04-25,True
Crystal,Glenn,Clark Extension 05214,North Sydney,19400,Danmark,DK,19641222-8532,+45,(420)667-4037x819,1964-12-22,True
Hans,Andresen,Ahmedhaugen 91H,Larsdal,0945,Norge,NO,19440504-4907,+47,91020052,1944-05-04,True
Bradley,Hall,Rachel Isle 89178,Matthewstad,06587,Danmark,DK,19610620-8612,+45,463.782.2428x7258,1961-06-20,True
Kristoffer,Eriksson,Ringstigen 8,Örebro,88374,Sverige,SE,19441119-1824,+46,097-92 88 47,1944-11-19,True
Jeffrey,Edwards,Thomas Wall 405,Vasquezside,97633,Danmark,DK,19860605-3856,45,+1-803-788-7314,1986-06-05,True
Aud,Bakken,Thomassenhaugen 3G,Kjetilhamn,5616,Norge,NO,19751205-2657,+47,42 92 02 47,1975-12-05,True
Reidun,Rønning,Jenssengropa 55G,Karlsen,9617,Norge,NO,19720130-1369,+47,96966772,1972-01-30,True
Helén,Karlsson,Ängsvägen 229,Varberg,42204,Sverige,SE,19460108-5307,+46,+46 (0)8 551 042 04,1946-01-08,True
Adrian,Fredriksen,Kristiansenstykket 125,Gunnarborg,7963,Norge,NO,19420606-7200,+47,88002791,1942-06-06,True
Bo,Sjögren,Skolstigen 8,Östersund,45994,Sverige,SE,19600711-5185,+46,08-06 23 60,1960-07-11,True
Jan,Arnesen,Sørenseneggen 4,Kimsjøen,4424,Norge,NO,19560902-4609,+47,+47 73 63 73 01,1956-09-02,True
Karl,Larsson,Björkvägen 910,Skellefteå,28899,Sverige,SE,19730726-1351,+46,+46 (0)85 59 48 03,1973-07-26,True
Mark,Griffith,Howard Trail 72195,Burtonmouth,34046,Danmark,DK,19520822-5011,+45,675.308.2059x1688,1952-08-22,True
Johanna,Bergman,Storvägen 799,Falun,47244,Sverige,SE,19721005-5372,+46,08-342 914 77,1972-10-05,True
Josef,Fransson,Björkstigen 9,Västerås,87019,Sverige,SE,19930329-1968,+46,08-365 94 46,1993-03-29,True
Birgitta,Karlsson,Fabriksgatan 57,Malmö,81150,Sverige,SE,19620414-2854,+46,08-992 53 00,1962-04-14,True
Hanna,Knudsen,Ahmedplassen 86G,Metteeid,0783,Norge,NO,19540502-0282,+47,48176941,1954-05-02,True
Wenche,Johansen,Halvorsenflata 09A,Eliø,8694,Norge,NO,19560815-8890,+47,+47 62 43 84 71,1956-08-15,True
Svea,Berg,Villavägen 64,Växjö,28010,Sverige,SE,19670729-3511,+46,0527-804 01,1967-07-29,True
Maria,Andersson,Trädgårdsgatan 35,Kristianstad,61086,Sverige,SE,19450806-3664,+46,08-861 24 94,1945-08-06,True
Inger,Andersson,Furustigen 7,Ängelholm,61972,Sverige,SE,19871227-0530,46,+46 (0)8 014 594 85,1987-12-27,True
Elisabet,Jonsson,Kyrkvägen 8,Malmö,87880,Sverige,SE,19941020-9325,+46,099-34 69 67,1994-10-20,True
Rebecca,Nilsson,Genvägen 9,Falun,45237,Sverige,SE,19700930-8879,+46,+46 (0)8 124 908 12,1970-09-30,True
Håvard,Strøm,Hellandlunden 73,Madsen,0454,Norge,NO,19450705-4312,+47,58019892,1945-07-05,True
Marius,Myhre,Eriksenstykket 58,Andresen,8916,Norge,NO,19561229-4002,+47,93938694,1956-12-29,True
Gunnar,Svensson,Idrottsgränd 58,Piteå,90370,Sverige,SE,19900307-5965,+46,08-666 69 84,1990-03-07,True
Maria,Persson,Fabriksstigen 356,Göteborg,83028,Sverige,SE,19570821-9457,+46,08-722 302 39,1957-08-21,True
Roy,Ellingsen,Jørgensenbråten 751,Arnesen,9015,Norge,NO,19450720-1128,+47,914 62 228,1945-07-20,True
Anton,Abrahamsson,Skogsgränd 40,Ängelholm,33730,Sverige,SE,19720819-1246,+46,+46 (0)8 137 367 98,1972-08-19,True
Linda,Brekke,Hellandåsen 62C,Reidundal,0677,Norge,NO,19720315-5565,+47,12 15 94 35,1972-03-15,True
Kristina,Nilsson,Industrivägen 518,Göteborg,14676,Sverige,SE,19401015-4189,+46,+46 (0)8 454 085 34,1940-10-15,True
Peter,Svensson,Gentorget 742,Motala,77722,Sverige,SE,19930416-5906,+46,08-670 15 12,1993-04-16,True
Mari,Paulsen,Karlsenåsen 979,Olsen,5066,Norge,NO,19531029-0975,+47,406 67 620,1953-10-29,True
Ingeborg,Höglund,Åkergränd 0,Halmstad,97252,Sverige,SE,19900531-9586,+46,08-11 21 24,1990-05-31,True
Kelly,Nguyen,John Plains 9781,Michellechester,19806,Danmark,DK,19830317-2331,+45,568-863-2570x119,1983-03-17,True
Sonya,Diaz,Cortez Locks 41415,New Danielleburgh,14320,Danmark,DK,19910522-4386,+45,(285)208-7862x6111,1991-05-22,True
Henrik,Blomqvist,Kvarngatan 076,Stockholm,86614,Sverige,SE,19620422-9934,+46,0439-53 33 89,1962-04-22,True
Martha,Wright,Kristina Divide 13764,Margaretmouth,44589,Danmark,DK,19690918-2358,+45,+1-891-997-4231,1969-09-18,True
Ulrika,Gunnarsson,Villagatan 4,Uddevalla,38136,Sverige,SE,19941211-8490,+46,0531-78 95 69,1994-12-11,True
Danny,White,Amanda Radial 74642,Murphymouth,11544,Danmark,DK,19830125-8786,+45,001-698-294-0244x4491,1983-01-25,True
Ulrika,Lindgren,Järnvägsgatan 3,Trelleborg,25642,Sverige,SE,19840724-3657,+46,+46 (0)71 14 03 14,1984-07-24,True
Ulrika,Larsson,Nygränd 707,Varberg,64202,Sverige,SE,19440513-3871,+46,041-32 66 45,1944-05-13,True
Gabrielle,Miller,Mary Via 022,Port Johnview,82578,Danmark,DK,19980917-2155,+45,741-210-6745x770,1998-09-17,True
Christopher,Chambers,Wilson Fork 97396,Port Franciscoshire,39200,Danmark,DK,19621203-3273,+45,001-624-941-3781x56608,1962-12-03,True
Øystein,Andresen,Thorsenspranget 5D,Simonsen,3425,Norge,NO,19981031-8711,+47,+47 57 98 04 54,1998-10-31,True
Sandra,Eriksson,Grangränd 4,Landskrona,92058,Sverige,SE,19591214-1640,+46,08-83 90 43,1959-12-14,True
Gunhild,Pettersson,Aspgatan 53,Alingsås,95982,Sverige,SE,19570906-7274,+46,08-639 226 47,1957-09-06,True
Marianne,Nilsson,Industritorget 0,Karlskrona,55113,Sverige,SE,19760325-3630,+46,+46 (0)8 310 850 68,1976-03-25,True
Eva,Norberg,Nystigen 172,Växjö,54720,Sverige,SE,19450523-4590,+46,+46 (0)25 36 93 95,1945-05-23,True
John,Castro,Mitchell Landing 34289,Kevinshire,51897,Danmark,DK,19740819-9107,+45,001-345-907-5446x79027,1974-08-19,True
Lovisa,Johansson,Industrigatan 6,Helsingborg,61978,Sverige,SE,19861222-0509,+46,077-069 85 73,1986-12-22,True
Erik,Gustavsson,Backvägen 055,Borås,97346,Sverige,SE,19921002-9034,+46,+46 (0)276 294 36,1992-10-02,True
Gabriella,Andersson,Fabriksvägen 6,Nyköping,12606,Sverige,SE,19890602-4604,+46,+46 (0)8 250 837 17,1989-06-02,True
Peter,Johansson,Trädgårdsgatan 621,Trollhättan,12703,Sverige,SE,19750217-7088,+46,+46 (0)61 48 39 53,1975-02-17,True
Anna,Eriksson,Skolgatan 05,Stockholm,81729,Sverige,SE,19730405-4114,+46,0348-32 18 05,1973-04-05,True
Joseph,Richards,Mendoza Road 6857,Nicoleland,63670,Danmark,DK,19720218-1837,+45,(288)803-3550,1972-02-18,True
Anita,Nielsen,Johnsenvika 76,Engen,2384,Norge,NO,19940114-0978,+47,90752882,1994-01-14,True
Åse,Isaksen,Ahmedgjerdet 2,Emilstad,8761,Norge,NO,19700719-0507,+47,934 06 899,1970-07-19,True
Margit,Olsson,Trädgårdsgatan 419,Luleå,40845,Sverige,SE,19541202-7532,+46,08-81 93 27,1954-12-02,True
Lennart,Franzén,Kvarngatan 4,Falun,54975,Sverige,SE,19640809-2729,+46,08-822 961 85,1964-08-09,True
Jacob,Knox,Ivan Corners 6237,South Codyview,62227,Danmark,DK,19841002-1505,+45,(772)429-0452x0158,1984-10-02,True
Carl,Karlsson,Skogsstigen 444,Karlstad,11394,Sverige,SE,19441110-0852,+46,+46 (0)8 256 771 32,1944-11-10,True
Elisabeth,Boström,Furugränd 4,Växjö,30971,Sverige,SE,19590924-4924,+46,0706-044 19,1959-09-24,True
Birgitta,Pettersson,Ängsgränd 417,Stockholm,84700,Sverige,SE,19540812-0045,+46,08-930 31 36,1954-08-12,True
Olavi,Kari,Vanha Rajabulevardi 82,Hämeenlinna,54741,Finland,FI,19790228-352T,+358,0057543254,1979-02-28,True
Sigrid,Olsson,Stationsgatan 37,Norrköping,72416,Sverige,SE,19400903-0515,+46,0692-130 01,1940-09-03,True
Robert,Anderson,Espinoza Light 30553,Claychester,86917,Danmark,DK,19790424-3219,+45,764.736.8307x16895,1979-04-24,True
Martin,Dahl,Industrivägen 50,Växjö,92279,Sverige,SE,19760302-8819,+46,+46 (0)8 765 589 01,1976-03-02,True
Anna,Stenberg,Aspvägen 8,Lidingö,87525,Sverige,SE,19590805-9048,+46,08-28 95 24,1959-08-05,True
Helene,Ali,Lienplassen 8G,Andreanes,1882,Norge,NO,19781204-3078,+47,82 03 48 12,1978-12-04,True
Eva,Sjögren,Björkvägen 1,Östersund,33828,Sverige,SE,19541213-8735,+46,+46 (0)542 684 93,1954-12-13,True
Frank,Hauge,Strandhaugen 94,Irenenes,8627,Norge,NO,19840605-9324,+47,14543465,1984-06-05,True
Gun,Johansson,Björkstigen 33,Lidingö,18624,Sverige,SE,19670307-5503,+46,0186-135 72,1967-03-07,True
Jonas,Ellingsen,Isaksenhøgda 222,Rønning,2606,Norge,NO,19740816-4583,+47,09167815,1974-08-16,True
Stine,Halvorsen,Svendsenstien 65,Nilsen,0905,Norge,NO,19650619-4389,+47,+47 95 76 33 75,1965-06-19,True
Anneli,Olofsson,Industritorget 0,Ängelholm,90741,Sverige,SE,19760805-8144,+46,08-91 62 10,1976-08-05,True
Joakim,Hermansson,Parkvägen 638,Kristianstad,84424,Sverige,SE,19430601-5430,+46,+46 (0)8 502 711 76,1943-06-01,True
Julia,Karlsson,Grangränd 57,Sundsvall,70089,Sverige,SE,19590704-2685,+46,08-625 47 40,1959-07-04,True
Kåre,Holm,Hagenlia 9,Ødegård,1146,Norge,NO,19750421-0055,+47,99295393,1975-04-21,True
Trond,Lien,Andreassenstubben 46,Bøe,6550,Norge,NO,19440111-6729,+47,88 03 40 50,1944-01-11,True
Pål,Paulsen,Edvardsenfaret 7,Olavøy,2329,Norge,NO,19441011-1074,+47,925 55 635,1944-10-11,True
Petter,Knudsen,Eriksenstubben 3,Hansen,4721,Norge,NO,19780819-6972,+47,49461116,1978-08-19,True
Kåre,Sandvik,Berghøgda 3B,Dahl,4272,Norge,NO,19490506-9811,+47,+4791289442,1949-05-06,True
Monica,Myklebust,Kristensensvingen 4,Engen,5679,Norge,NO,19830922-9464,+47,18 39 40 89,1983-09-22,True
Kristina,Holmberg,Industrigatan 097,Linköping,19330,Sverige,SE,19970722-9904,46,+46 (0)8 206 866 34,1997-07-22,True
Elisabet,Mattsson,Trädgårdstorget 01,Örebro,14861,Sverige,SE,19710917-2728,+46,0917-018 25,1971-09-17,False
